Date,Open,High,Low,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2021-04-07,1.1601,1.2909,1.2578,1.1745,60930156.15,1.1977600000000002,1.1966,1.1948285714285714,1.19465,1.1967444444444444,1.19739,1.1967454545454546,1.1950833333333333,1.1965692307692306,1.1894071428571429,1.1812733333333334,1.17730625,1.1729176470588236,1.1737833333333334,1.1752315789473684,1.18185,1.1841428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,1.1703,1.2289,1.1745,1.2195,34901097.69,1.20892,1.2013833333333335,1.1998714285714285,1.1979125,1.1974111111111112,1.19902,1.1993999999999998,1.1986416666666666,1.1969615384615384,1.1982071428571428,1.1914133333333334,1.1836625,1.1797882352941176,1.1755055555555556,1.1761894736842105,1.177445,1.1836428571428572,1.18575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,1.1922,1.2299,1.219,1.2027,36252890.19,1.21312,1.2078833333333334,1.2015714285714285,1.200225,1.1984444444444444,1.19794,1.1993545454545453,1.1996749999999998,1.198953846153846,1.1973714285714288,1.1985066666666668,1.1921187500000001,1.1847823529411765,1.1810611111111111,1.1769368421052633,1.177515,1.178647619047619,1.184509090909091,1.186486956521739,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,1.195,1.2516,1.2027,1.2176,43156667.15,1.2141800000000003,1.2138666666666666,1.2092714285714286,1.2035749999999998,1.2021555555555556,1.20036,1.1997272727272728,1.2008750000000001,1.201053846153846,1.2002857142857142,1.19872,1.1997,1.1936176470588236,1.1866055555555555,1.1829842105263157,1.17897,1.1794238095238094,1.1804181818181816,1.1859478260869565,1.1877833333333332,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,1.1986,1.29,1.2182,1.2647,60569061.79,1.2158,1.2226,1.2211285714285716,1.2162000000000002,1.2103666666666666,1.20841,1.206209090909091,1.2051416666666668,1.2057846153846155,1.2056,1.20458,1.20284375,1.2035235294117648,1.1975666666666667,1.1907157894736842,1.1870699999999998,1.183052380952381,1.1833,1.1840826086956522,1.1892291666666666,1.19086,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,1.2635,1.3476,1.2638,1.3153,81402849.96,1.24396,1.2323833333333332,1.2358428571428572,1.2328999999999999,1.227211111111111,1.22086,1.2181272727272727,1.2153,1.2136153846153848,1.2136071428571429,1.2129133333333333,1.2115,1.2094588235294117,1.2097333333333333,1.203763157894737,1.196945,1.1931761904761904,1.1890636363636364,1.1890391304347825,1.1895499999999999,1.194272,1.1956461538461538,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,1.2828,1.4368,1.3153,1.414,104171409.13,1.28286,1.2723,1.2583285714285712,1.2581125,1.2530222222222223,1.24589,1.2384181818181819,1.23445,1.2305846153846154,1.2279285714285713,1.2269666666666665,1.2254812499999999,1.2234117647058822,1.220822222222222,1.2204842105263158,1.214275,1.2072809523809522,1.2032136363636363,1.1988434782608695,1.1984124999999999,1.1985279999999998,1.2027230769230768,1.2037333333333333,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,1.3495,1.5591,1.414,1.4512,178796472.0,1.33256,1.3109166666666667,1.2978571428571428,1.2824375,1.2795666666666667,1.27284,1.2645545454545455,1.25615,1.2511230769230768,1.246342857142857,1.2428133333333333,1.24098125,1.2387588235294116,1.2360666666666666,1.2329473684210526,1.23202,1.2255571428571428,1.2183681818181817,1.213995652173913,1.2093583333333333,1.208524,1.2082461538461537,1.211925925925926,1.2125714285714284,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,1.4111,1.4975,1.4528,1.4803,86951329.97,1.3851,1.3571833333333334,1.3351142857142857,1.3206625,1.3044222222222224,1.29964,1.2917,1.2825333333333333,1.2733923076923075,1.2674928571428572,1.2619399999999998,1.2576562500000001,1.2550588235294118,1.2521777777777778,1.248921052631579,1.2453150000000002,1.243842857142857,1.2371363636363635,1.2297565217391304,1.2250916666666667,1.220196,1.218976923076923,1.2183222222222223,1.2215107142857142,1.221803448275862,,,,,,,,,,,,,,,,,,,,,
2021-04-16,1.34,1.5222,1.4806,1.413,123840398.92,1.41476,1.38975,1.3651571428571427,1.3448499999999999,1.3309222222222223,1.31528,1.3099454545454545,1.3018083333333335,1.2925692307692307,1.2833642857142855,1.2771933333333332,1.27138125,1.2667941176470587,1.2638333333333334,1.2606421052631578,1.2571249999999998,1.2532999999999999,1.2515318181818182,1.2447826086956522,1.2373916666666667,1.232608,1.2276115384615385,1.226162962962963,1.2252750000000001,1.2281137931034485,1.2281766666666667,,,,,,,,,,,,,,,,,,,,
2021-04-17,1.36,1.4599,1.413,1.3772,68299999.39,1.42714,1.4085,1.387957142857143,1.3666625,1.3484444444444446,1.33555,1.320909090909091,1.31555,1.3076076923076922,1.298614285714286,1.28962,1.28344375,1.2776058823529413,1.2729277777777779,1.2698,1.26647,1.2628428571428572,1.258931818181818,1.2569956521739132,1.2503,1.242984,1.2381692307692307,1.2331518518518518,1.2315571428571428,1.2305137931034482,1.2330833333333333,1.2329838709677419,,,,,,,,,,,,,,,,,,,
