Date,Open,High,Low,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2021-06-16,22.5,24.0,24.0,23.04,731607.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-17,22.002,24.004,23.04,22.553,777914.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,20.222,22.571,22.559,21.468,1330098.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-19,20.227,21.665,21.437,20.227,547034.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-20,18.878,21.0,20.222,20.653,601282.398,21.5882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,15.673,20.8,20.596,15.732,1365773.166,20.126600000000003,20.612166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-22,13.15,22.8,15.726,14.676,2995484.869,18.5512,19.21816666666667,19.764142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-23,14.0,16.842,14.715,15.813,2036329.839,17.4202,18.09483333333333,18.731714285714286,19.27025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24,14.737,16.606,15.813,16.224,1155981.42,16.6196,17.220833333333335,17.827571428571428,18.41825,18.93177777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,14.419,16.731,16.22,14.434,1190915.644,15.375799999999998,16.255333333333333,16.822714285714284,17.403375,17.975555555555555,18.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
