Date,Open,High,Low,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2020-01-01,7136.05,7238.14,7165.72,7174.33,3350.63004888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,6903.0,7186.18,7174.33,6945.02,8010.92738748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,6854.67,7401.2,6945.02,7334.45,14056.39238489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,7263.32,7398.0,7334.45,7348.63,4742.46620989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,7312.22,7488.87,7348.63,7355.4,5942.01494574,7231.566000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,7343.17,7805.0,7355.4,7764.63,11770.42968139,7349.625999999999,7320.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,7723.0,8216.0,7764.63,8158.52,19857.45754518,7592.326000000001,7484.441666666667,7440.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,7845.0,8469.39,8160.01,8045.51,23927.67532995,7734.5380000000005,7667.856666666667,7564.594285714285,7515.81125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,7744.48,8048.67,8047.75,7813.78,9477.65983784,7827.567999999999,7747.745,7688.702857142857,7595.7425,7548.918888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,7671.0,8199.77,7813.78,8198.09,13419.69851238,7996.106,7889.321666666667,7812.08,7752.37625,7662.67,7613.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,8000.01,8290.0,8198.09,8020.0,7557.36879269,8047.18,8000.088333333333,7907.99,7838.07,7782.112222222223,7698.403,7650.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,7963.25,8185.0,8017.47,8180.81,3920.74009838,8051.638000000001,8069.451666666667,8025.905714285714,7942.0925,7876.152222222222,7821.981999999999,7742.258181818182,7694.930833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,8041.95,8195.81,8180.81,8104.5,6678.02840315,8063.436,8060.448333333333,8074.458571428571,8035.73,7960.137777777778,7898.986999999999,7847.665454545454,7772.445,7726.4361538461535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,8105.23,8893.69,8105.6,8815.69,27075.8082207,8263.818,8188.811666666667,8168.339999999999,8167.1125,8122.392222222222,8045.692999999999,7982.323636363636,7928.3341666666665,7852.694615384616,7804.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,8550.0,8900.0,8812.58,8808.81,14977.61979023,8385.962000000001,8354.65,8277.382857142857,8248.39875,8238.412222222223,8191.034,8115.067272727272,8051.197499999999,7996.063076923077,7920.988571428571,7871.211333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,8580.0,8850.0,8808.81,8714.76,9265.76423506,8524.913999999999,8440.761666666667,8406.094285714285,8332.055,8300.216666666667,8286.047,8238.645454545454,8165.041666666667,8102.24076923077,8047.398571428571,7973.906666666667,7923.933125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,8665.67,9013.0,8714.77,8899.42,15447.36512517,8668.636,8587.331666666667,8506.284285714286,8467.76,8395.095555555556,8360.137,8341.808181818182,8293.710000000001,8221.532307692307,8159.182142857143,8104.2,8031.75125,7981.314705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-18,8800.1,8980.0,8899.42,8909.32,5600.21827844,8829.6,8708.75,8633.33,8556.66375,8516.822222222223,8446.518,8410.062727272727,8389.100833333332,8341.064615384616,8270.66,8209.191333333332,8154.5199999999995,8083.372941176471,8032.870555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,8465.0,9194.99,8908.95,8697.53,15218.51476182,8805.967999999999,8807.588333333333,8707.147142857142,8641.355,8572.315555555555,8534.893,8469.337272727273,8434.018333333333,8412.826153846154,8366.526428571427,8299.117999999999,8239.7125,8186.461764705883,8117.492777777779,8067.852631578948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,8504.06,8734.84,8697.53,8628.89,5605.80561385,8769.984,8776.455,8782.06,8697.365,8639.97,8577.973,8543.438181818181,8482.633333333333,8449.008461538462,8428.259285714284,8384.017333333333,8319.72875,8262.605294117648,8211.04111111111,8144.408421052632,8095.9045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,8465.0,8774.31,8628.89,8722.03,7520.65103045,8771.438,8761.991666666667,8768.68,8774.55625,8700.105555555556,8648.176,8591.06909090909,8558.320833333333,8501.048461538461,8468.51,8447.844,8405.143125,8343.393529411765,8288.128888888888,8237.935263157895,8173.289500000001,8125.719999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,8565.0,8791.76,8722.03,8660.38,5481.36960818,8723.63,8752.928333333333,8747.475714285714,8755.1425,8761.869999999999,8696.133,8649.285454545454,8596.845,8566.171538461538,8512.429285714285,8481.301333333333,8461.127499999999,8420.15705882353,8361.003888888888,8307.72105263158,8259.057499999999,8196.484285714287,8150.022727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,8278.0,8665.0,8660.38,8385.22,12206.24491133,8618.81,8667.228333333334,8700.398571428572,8702.19375,8714.039999999999,8724.205,8667.868181818181,8627.28,8580.566153846154,8553.246428571429,8503.948666666667,8475.29625,8456.662352941177,8418.216111111113,8362.278421052632,8311.596000000001,8265.065238095238,8205.063181818183,8160.248695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,8216.71,8509.99,8385.21,8427.26,8634.96792308,8564.756,8586.885,8632.947142857143,8666.25625,8671.645555555555,8685.362,8697.21,8647.8175,8611.893846153846,8569.615714285714,8544.847333333333,8499.155625,8472.470588235294,8455.02888888889,8418.692105263159,8365.5275,8317.103809523811,8272.437727272727,8214.72391304348,8171.374166666667,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,8252.73,8437.76,8427.58,8326.81,3783.20831697,8504.34,8525.098333333333,8549.73142857143,8594.68,8628.54,8637.162,8652.766363636363,8666.343333333332,8623.124615384615,8591.530714285715,8553.428666666667,8531.22,8489.017647058825,8464.378333333334,8448.28052631579,8414.098000000002,8363.68380952381,8317.545,8274.801739130435,8219.394166666667,8177.591600000001,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,8278.68,8595.0,8326.8,8595.0,5497.32293973,8478.934,8519.449999999999,8535.084285714285,8555.39,8594.715555555556,8625.185999999998,8633.32909090909,8647.9525,8660.855384615385,8621.115714285714,8591.761999999999,8556.026875,8534.971764705884,8494.905555555557,8471.253157894736,8455.6165,8422.712380952382,8374.198181818183,8329.608260869567,8288.143333333333,8234.4184,8193.64576923077,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,8556.6,8985.0,8595.0,8895.96,9548.60475006,8526.05,8548.438333333334,8573.237142857142,8580.19375,8593.23111111111,8624.84,8649.801818181817,8655.215,8667.03,8677.648571428572,8639.438666666667,8610.774374999999,8576.02294117647,8555.026666666667,8516.013684210528,8492.4885,8476.585238095238,8444.223636363637,8396.88347826087,8353.206250000001,8312.456,8259.862307692309,8219.657407407407,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,8880.87,9418.91,8895.95,9394.5,17578.54006083,8727.905999999999,8670.791666666666,8669.304285714285,8675.895,8670.672222222222,8673.358,8694.80909090909,8711.86,8712.083076923078,8718.992142857143,8725.438666666667,8686.63,8656.875882352942,8621.49388888889,8599.209473684212,8559.938,8535.441428571428,8518.308636363638,8485.54,8438.450833333334,8394.858,8354.073076923076,8301.885925925926,8261.61607142857,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,9224.75,9439.83,9391.14,9288.44,12233.05063864,8900.142,8821.328333333333,8759.027142857143,8746.696249999999,8743.955555555554,8732.449,8729.274545454546,8744.278333333334,8756.212307692309,8753.25142857143,8756.955333333333,8760.62625,8722.030588235293,8691.962777777779,8656.596315789475,8633.671,8594.628571428571,8569.668636363636,8551.792608695652,8518.994166666667,8472.4504,8429.226538461538,8388.67925925926,8337.12,8297.023793103448,,,,,,,,,,,,,,,,,,,,,
2020-01-30,9171.11,9574.68,9287.9,9503.08,12948.39766745,9135.396,9000.631666666666,8918.721428571427,8852.03375,8830.738888888889,8819.868,8802.506363636365,8793.758333333333,8802.647692307692,8809.560000000001,8803.24,8803.588125,8804.3,8765.422222222222,8734.653157894738,8698.9205,8675.07142857143,8635.921818181818,8610.251739130434,8591.429583333333,8558.3576,8512.09,8468.99888888889,8428.479285714286,8377.32551724138,8337.225666666667,,,,,,,,,,,,,,,,,,,,
2020-01-31,9195.49,9522.5,9502.71,9334.98,9719.06131452,9283.392,9168.66,9048.395714285714,8970.75375,8905.694444444443,8881.163,8866.696363636363,8846.879166666668,8835.39076923077,8840.671428571428,8844.587999999998,8836.47375,8834.846470588234,8833.782222222222,8795.39894736842,8764.6695,8729.209047619046,8705.067272727274,8666.315652173913,8640.44875,8621.1716,8588.227692307693,8542.567407407407,8499.926785714286,8459.737931034482,8409.247333333335,8369.411290322581,,,,,,,,,,,,,,,,,,,
2020-02-01,9285.01,9458.08,9334.98,9380.18,4387.41986202,9380.236,9299.523333333333,9198.877142857144,9089.86875,9016.245555555557,8953.143,8926.528181818181,8909.486666666666,8887.902307692308,8874.304285714285,8876.638666666666,8878.0625,8868.456470588235,8865.142777777779,8862.539999999999,8824.637999999999,8793.979523809525,8758.798636363637,8734.42,8696.06,8670.037999999999,8650.364230769232,8617.55925925926,8572.482142857143,8530.280344827586,8490.419333333333,8440.567741935483,8400.9978125,,,,,,,,,,,,,,,,,,
2020-02-02,9140.0,9480.0,9380.18,9323.5,7307.92291459,9366.036,9370.78,9302.948571428571,9214.455,9115.827777777777,9046.971,8986.811818181817,8959.609166666667,8941.333846153846,8919.016428571429,8904.250666666667,8904.567500000001,8904.264705882353,8893.736666666666,8889.266842105264,8885.588,8848.393333333332,8818.048636363637,8783.350869565218,8758.965,8721.1576,8695.171153846153,8675.295185185185,8642.771428571428,8598.379310344828,8556.721,8517.292903225807,8468.159375000001,8428.952424242423,,,,,,,,,,,,,,,,,
2020-02-03,9220.0,9619.95,9325.01,9280.49,11910.28572971,9364.446,9351.778333333334,9357.881428571429,9300.14125,9221.792222222222,9132.294,9068.199999999999,9011.285,8984.292307692307,8965.559285714286,8943.114666666666,8927.765625,8926.680588235295,8925.16611111111,8914.092105263158,8908.828,8904.392857142857,8868.03409090909,8838.154782608695,8804.065,8779.826000000001,8742.670384615385,8716.849629629629,8696.909285714286,8664.761724137932,8621.116333333333,8580.068387096773,8541.1428125,8492.775454545454,8453.997647058823,,,,,,,,,,,,,,,,
2020-02-04,9078.05,9350.0,9280.49,9164.33,8190.74898707,9296.696,9331.093333333332,9325.0,9333.6875,9285.05111111111,9216.046,9135.206363636364,9076.210833333333,9023.057692307691,8997.152142857143,8978.810666666666,8956.940625,8941.681176470587,8939.883333333333,8937.753684210527,8926.604,8920.994761904762,8916.208181818181,8880.91652173913,8851.745416666667,8818.4756,8794.614615384617,8758.287407407408,8732.83107142857,8713.02724137931,8681.414,8638.63935483871,8598.326562499999,8560.027272727273,8512.527058823529,8474.292857142857,,,,,,,,,,,,,,,
2020-02-05,9150.0,9769.7,9164.33,9613.82,13267.06193659,9352.464,9349.550000000001,9371.482857142855,9361.102499999999,9364.813333333334,9317.928,9252.207272727273,9175.090833333334,9117.565384615384,9065.255,9038.263333333334,9018.498749999999,8995.580588235294,8979.022222222222,8975.353684210526,8971.557,8959.32857142857,8952.486818181818,8946.539130434783,8911.454166666666,8882.2284,8849.06576923077,8824.955555555556,8788.842142857144,8763.21,8743.053666666667,8711.491612903226,8669.113749999999,8629.09909090909,8591.02117647059,8543.992571428571,8505.94638888889,,,,,,,,,,,,,,
2020-02-06,9521.47,9857.0,9613.91,9763.01,12672.13678163,9429.03,9420.888333333334,9408.615714285714,9420.42375,9405.75888888889,9404.633,9358.390000000001,9294.774166666668,9220.315384615385,9163.668571428572,9111.771999999999,9083.56,9062.293529411763,9038.215555555555,9020.284736842104,9014.736499999999,9009.245238095238,8995.859545454545,8987.72695652174,8980.558749999998,8945.516399999999,8916.104615384615,8882.915555555555,8858.4575,8822.434137931034,8796.536666666665,8775.955483870968,8744.3515625,8702.262121212121,8662.449411764706,8624.506571428572,8577.854166666666,8539.921081081082,,,,,,,,,,,,,
