Date,Low,High,Open,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2020-02-21,254.1,268.71,257.2,265.8,136892.247,266.64,265.2833333,265.2314286,267.86125,267.9233333,267.78,265.0709091,261.5525,259.0330769,256.4857143,254.268,251.685625,248.8805882,245.5116667,242.5594737,239.846,237.1628571,234.5527273,232.3786957,229.9233333,227.766,225.5353846,223.3803704,221.1210714,219.0927586,217.203,215.6054839,214.155,212.7163636,211.3644118,210.2985714,209.1677778,207.9451351,206.8489474,205.7953846,204.23825,202.832439,201.3990476,200.0809302,198.6634091,197.3731111,196.1928261,195.086383,193.8410417,192.6226531,191.4536
2020-02-22,256.3,267.04,265.79,262.08,63814.59112,265.45,265.88,264.8257143,264.8375,267.2188889,267.339,267.2618182,264.8216667,261.5930769,259.2507143,256.8586667,254.75625,252.2970588,249.6138889,246.3836842,243.5355,240.9047619,238.2954545,235.7495652,233.61625,231.2096,229.0857692,226.8888889,224.7625,222.5334483,220.5256667,218.6506452,217.0578125,215.6072727,214.1682353,212.8134286,211.7369444,210.5978378,209.3697368,208.2651282,207.2025,205.6490244,204.2430952,202.8102326,201.49,200.0726667,198.7797826,197.5946809,196.4820833,195.2336735,194.0118
2020-02-23,261.53,276.62,261.94,275.48,104405.1399,263.884,267.1216667,267.2514286,266.1575,266.02,268.045,268.0790909,267.9466667,265.6415385,262.585,260.3326667,258.0225,255.9752941,253.585,250.9752632,247.8385,245.0566667,242.4763636,239.9121739,237.405,235.2908,232.9123077,230.8040741,228.6242857,226.5113793,224.2983333,222.2983871,220.4265625,218.8281818,217.3682353,215.92,214.5541667,213.4597297,212.3052632,211.0648718,209.9455,208.8678049,207.3116667,205.8997674,204.4618182,203.1342222,201.7119565,200.4117021,199.2172917,198.0942857,196.8386
2020-02-24,256.06,278.13,275.48,265.31,197775.6683,265.214,264.1216667,266.8628571,267.00875,266.0633333,265.949,267.7963636,267.8483333,267.7438462,265.6178571,262.7666667,260.64375,258.4511765,256.4938889,254.2021053,251.692,248.6704762,245.9772727,243.4691304,240.9704167,238.5212,236.4453846,234.1122222,232.0364286,229.8893103,227.8046667,225.6212903,223.6425,221.7866667,220.1952941,218.738,217.2919444,215.9259459,214.8242105,213.664359,212.421,211.2958537,210.2116667,208.6604651,207.25,205.814,204.4858696,203.0651064,201.76375,200.5661224,199.4386
2020-02-25,244.44,266.24,265.53,246.5,152709.5137,263.034,262.095,261.6042857,264.3175,264.73,264.107,264.1809091,266.0216667,266.2061538,266.2264286,264.3433333,261.75,259.8117647,257.7872222,255.9678947,253.817,251.4447619,248.5718182,246,243.5954167,241.1916,238.8280769,236.8177778,234.5546429,232.5351724,230.443,228.4077419,226.27375,224.3351515,222.5135294,220.9468571,219.5091667,218.0813514,216.7305263,215.6364103,214.48525,213.2521951,212.1340476,211.0555814,209.5204545,208.1222222,206.6984783,205.3797872,203.97,202.6767347,201.4848
2020-02-26,215.33,250.84,246.28,223.5,404352.6157,254.574,256.445,256.5814286,256.84125,259.7822222,260.607,260.4154545,260.7908333,262.7507692,263.1557143,263.378,261.790625,259.5,257.7944444,255.9826316,254.3445,252.3733333,250.1745455,247.4817391,245.0625,242.7916,240.5111538,238.2603704,236.3421429,234.1734483,232.234,230.2190323,228.254375,226.189697,224.3105882,222.5417143,221.0177778,219.617027,218.2239474,216.9041026,215.833,214.705122,213.4961905,212.3983721,211.3384091,209.8311111,208.4565217,207.0559574,205.7572917,204.3685714,203.0932
2020-02-27,209.26,239,223.78,227.63,342714.1797,247.684,250.0833333,252.3285714,252.9625,253.5955556,256.567,257.6090909,257.6833333,258.24,260.2421429,260.7873333,261.14375,259.7811765,257.7294444,256.2068421,254.565,253.072381,251.2486364,249.1943478,246.6545833,244.3652,242.2084615,240.0340741,237.8807143,236.0417241,233.9553333,232.0854839,230.138125,228.2354545,226.2320588,224.4054286,222.6830556,221.1964865,219.8278947,218.4651282,217.17225,216.1207317,215.0128571,213.8248837,212.7445455,211.7004444,210.2180435,208.8644681,207.4845833,206.2036735,204.8338
2020-02-28,213.63,234.9,227.6,227.37,258340.9876,238.062,244.2983333,246.8385714,249.20875,250.1188889,250.973,253.9127273,255.0891667,255.3515385,256.035,258.0506667,258.69875,259.1570588,257.9805556,256.1315789,254.765,253.27,251.9040909,250.2104348,248.285,245.8832,243.7115385,241.6588889,239.5817857,237.5182759,235.7526667,233.7429032,231.938125,230.0542424,228.21,226.2645714,224.4877778,222.8097297,221.3589474,220.0212821,218.68775,217.4209756,216.3885714,215.3002326,214.1327273,213.0695556,212.041087,210.5829787,209.25,207.8904082,206.627
2020-02-29,216.83,233.32,227.13,217.31,93401.32179,228.462,234.6033333,240.4428571,243.1475,245.6644444,246.838,247.9127273,250.8625,252.1830769,252.6342857,253.4533333,255.504375,256.2641176,256.8322222,255.84,254.1905,252.9814286,251.6354545,250.4,248.8395833,247.046,244.7842308,242.7337037,240.7892857,238.8137931,236.8446667,235.1577419,233.229375,231.4948485,229.6794118,227.8985714,226.0158333,224.2937838,222.665,221.2551282,219.9535,218.6541463,217.4183333,216.41,215.3459091,214.2033333,213.1617391,212.1531915,210.723125,209.4144898,208.0788
2020-03-01,211.5,227.99,217.36,217.26,144339.9094,222.614,226.595,232.1257143,237.545,240.2711111,242.824,244.1490909,245.3583333,248.2776923,249.6885714,250.276,251.19125,253.2547059,254.0972222,254.7494737,253.911,252.4319048,251.3577273,250.1408696,249.0191667,247.5764,245.9003846,243.7648148,241.8239286,239.977931,238.0953333,236.2129032,234.5984375,232.7454545,231.0761765,229.3245714,227.6030556,225.7791892,224.1086842,222.5264103,221.15525,219.8878049,218.6209524,217.4146512,216.4293182,215.3884444,214.2697826,213.2489362,212.2595833,210.8565306,209.5714
