Date,Low,High,Open,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2020-01-15,55.24,60.25,58.4,58.12,251482.71331807,53.376,52.645,51.51428571428572,50.735,50.24888888888889,49.803000000000004,49.209999999999994,48.669999999999995,48.17230769230768,47.54,47.13666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,54.72,58.4,58.09,57.5,150859.59510839,55.004,54.06333333333333,53.33857142857143,52.2625,51.486666666666665,50.974000000000004,50.50272727272727,49.90083333333334,49.349230769230765,48.83857142857143,48.20399999999999,47.784375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,56.7,63.17,57.53,60.86,298201.06770049,56.891999999999996,55.98,55.034285714285716,54.27875,53.21777777777778,52.424,51.872727272727275,51.365833333333335,50.74384615384615,50.17142857142857,49.64,48.995,48.55352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-18,57.92,62.4,60.87,59.28,150822.25710017,58.831999999999994,57.29,56.451428571428565,55.565,54.83444444444444,53.824,53.04727272727273,52.49,51.97461538461539,51.353571428571435,50.77866666666667,50.24249999999999,49.6,49.14944444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,55.33,62.5,59.24,57.57,178580.06296385,58.666,58.62166666666666,57.33,56.591249999999995,55.78777777777778,55.108000000000004,54.16454545454546,53.42416666666667,52.88076923076923,52.37428571428571,51.768,51.203125,50.67352941176471,50.04277777777778,49.59263157894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,55.71,58.19,57.54,57.1,96636.89920993,58.462,58.405,58.40428571428572,57.30125,56.64777777777778,55.919,55.2890909090909,54.409166666666664,53.70692307692308,53.182142857142864,52.68933333333334,52.10125,51.550000000000004,51.03055555555556,50.41421052631579,49.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,55.76,57.98,57.12,57.49,86003.48150129,58.46,58.300000000000004,58.27428571428572,58.290000000000006,57.32222222222222,56.73199999999999,56.061818181818175,55.4725,54.646153846153844,53.97714285714286,53.46933333333333,52.989375,52.41823529411765,51.88,51.37052631578947,50.768,50.32619047619047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,57.03,59.13,57.49,58.1,70210.33061885,57.908,58.4,58.271428571428565,58.2525,58.26888888888888,57.4,56.85636363636363,56.23166666666666,55.67461538461539,54.892857142857146,54.252,53.75875,53.290000000000006,52.73388888888889,52.207368421052635,51.706999999999994,51.11714285714286,50.679545454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,52.1,58.2,58.11,54.42,178115.25574334,56.936,57.32666666666666,57.83142857142857,57.79,57.826666666666675,57.88399999999999,57.12909090909091,56.65333333333333,56.0923076923077,55.585,54.86133333333333,54.2625,53.797647058823536,53.35277777777778,52.822631578947366,52.318000000000005,51.836190476190474,51.26727272727273,50.842173913043474,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,50.63,55.34,54.45,54.33,156161.670056,56.288,56.501666666666665,56.89857142857143,57.39375,57.40555555555555,57.477,57.560909090909085,56.895833333333336,56.47461538461539,55.96642857142858,55.50133333333334,54.828125,54.2664705882353,53.82722222222222,53.404210526315794,52.898,52.413809523809526,51.94954545454546,51.4004347826087,50.987500000000004,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,52.2,54.33,54.33,52.79,74542.36549578,55.426,55.705000000000005,55.971428571428575,56.385,56.882222222222225,56.943999999999996,57.05090909090909,57.16333333333333,56.58,56.21142857142858,55.75466666666667,55.331875000000004,54.70823529411764,54.184444444444445,53.77263157894737,53.3735,52.892857142857146,52.43090909090909,51.98608695652174,51.458333333333336,51.0596,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,52.75,56.53,52.76,56.08,82281.26637469,55.144000000000005,55.535,55.75857142857143,55.985,56.351111111111116,56.802,56.86545454545455,56.97,57.080000000000005,56.544285714285714,56.20266666666667,55.775000000000006,55.37588235294118,54.784444444444446,54.284210526315796,53.888,53.50238095238095,53.03772727272727,52.5895652173913,52.156666666666666,51.6432,51.25269230769231,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,55.79,59.53,56.09,58.44,154329.98266349,55.212,55.69333333333333,55.949999999999996,56.09375,56.257777777777775,56.56,56.95090909090909,56.99666666666667,57.08307692307692,57.17714285714286,56.67066666666666,56.3425,55.93176470588236,55.54611111111112,54.97684210526315,54.492,54.10476190476191,53.72681818181818,53.272608695652174,52.833333333333336,52.408,51.90461538461538,51.51888888888889,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,57.17,61.44,58.47,60.62,218236.19952383,56.452,56.11333333333334,56.39714285714285,56.53375,56.596666666666664,56.694,56.92909090909091,57.25666666666666,57.27538461538462,57.33571428571429,57.406666666666666,56.9175,56.59411764705882,56.19222222222223,55.81315789473685,55.25899999999999,54.78380952380952,54.400909090909096,54.02652173913044,53.57874999999999,53.1448,52.72384615384616,52.227407407407405,51.84392857142858,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,59.32,62.4,60.62,59.62,215676.30155165,57.510000000000005,56.98,56.614285714285714,56.8,56.876666666666665,56.899,56.959999999999994,57.15333333333333,57.43846153846154,57.44285714285714,57.48800000000001,57.545,57.07647058823529,56.76222222222222,56.37263157894736,56.003499999999995,55.46666666666666,55.00363636363636,54.627826086956524,54.25958333333333,53.8204,53.393846153846155,52.97925925925926,52.49142857142857,52.11206896551724,,,,,,,,,,,,,,,,,,,,,
