Date,Low,High,Open,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2021-08-12,64.55,73.73,73.73,66.08,50393.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,65.78,73.95,66.08,70.61,304735.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14,65.17,70.83,70.75,67.83,94201.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-15,63.25,68.0,67.78,68.0,69932.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-16,65.78,71.09,67.99,66.26,91908.444,67.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-17,65.22,82.67,66.33,71.91,350630.393,68.922,68.44833333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-18,65.66,74.89,71.84,69.31,215923.228,68.662,68.98666666666666,68.57142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-19,67.26,73.09,69.52,71.73,131893.132,69.44200000000001,69.17333333333333,69.37857142857143,68.96625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,71.4,74.43,71.81,73.9,104495.565,70.622,70.185,69.84857142857143,69.94375000000001,69.51444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21,73.93,83.54,73.93,76.9,232548.588,72.75000000000001,71.66833333333334,71.14428571428572,70.73,70.71666666666665,70.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
